id;cognome;nome;ruoli
269;Osho;;AUTORE
771;Restani;Daria;TRADUTTORE
1408;Canducci;Massimo;AUTORE
1641;Del Soldà;Pietro;AUTORE
1962;Camerini;Valentina;AUTORE
1982;Sala;Virginio B.;"AUTORE;PREFATORE;TRADUTTORE"
1988;VV.;AA.;"AUTORE;TRADUTTORE"
2030;Montanaro;Giovanni;"AUTORE;PREFATORE"
2200;Provantini;Silvia;"AUTORE;ILLUSTRATORE"
2215;Casali;Lisa;AUTORE
2742;Poli;Cinzia;TRADUTTORE
2780;Recalcati;Massimo;"AUTORE;PREFATORE"
3143;Borghello;Giampaolo;AUTORE
3226;Greco;Giovanni;"AUTORE;CURATORE;TRADUTTORE"
3565;Matteo;Salvo;AUTORE
3751;Heine;Heinrich;AUTORE
4129;Freschi;Valentina;TRADUTTORE
4134;de Kerangal;Maylis;AUTORE
4135;Baiocchi;Maria;TRADUTTORE
4200;Peri;Francesco;TRADUTTORE
4240;Di Paolo;Paolo;"AUTORE;CURATORE"
4312;Pranzetti Lombardini;Laura;"AUTORE;CURATORE"
4330;Verne;Jules;AUTORE
4331;Revelli;Marco;PREFATORE
4336;Sacchini;Stella;"CURATORE;TRADUTTORE"
4352;Bajani;Andrea;"AUTORE;PREFATORE"
4451;Da Ros;Emanuela;AUTORE
4553;DA DEFINIRE;;"AUTORE;CURATORE;ILLUSTRATORE;PREFATORE;TRADUTTORE"
4670;Lallemand;Orianne;"AUTORE;ILLUSTRATORE"
4671;Thuillier ;Éléonore;"AUTORE;ILLUSTRATORE"
4759;Antonelli;Sara;"AUTORE;CURATORE;TRADUTTORE"
4816;Colitto;Alfredo;TRADUTTORE
4827;Cingoli;Lorenza;AUTORE
4837;Forti;Martina;AUTORE
4863;Nocentini;Gabriella;TRADUTTORE
4901;Stella;Gaia;ILLUSTRATORE
4948;Gamberale;Chiara;"AUTORE;PREFATORE"
5051;Ricuperati;Gianluigi;AUTORE
5065;Brontë;Charlotte;AUTORE
5096;Sghirinzetti;Marta ;TRADUTTORE
5134;Vásquez;Juan Gabriel;AUTORE
5160;Recanatini;Simona;"AUTORE;CURATORE"
5161;Sassi;Sonia;AUTORE
5221;Borca;Deborah;"CURATORE;TRADUTTORE"
5222;Zanetto;Giuseppe;AUTORE
5303;Wharton;Edith;AUTORE
5354;Pe';Francesca;TRADUTTORE
5379;Llenas;Anna;"AUTORE;ILLUSTRATORE"
5395;Barzun;Jacques;PREFATORE
5436;Faraci;Tito;"AUTORE;CURATORE"
5457;Scarlini;Luca;AUTORE
5464;Cottarelli;Carlo ;AUTORE
5485;Corbellini;Gilberto;AUTORE
5528;Ciccarella;Emanuele;TRADUTTORE
5530;Plescia;Iolanda;"CURATORE;TRADUTTORE"
5532;Berton;Matteo;ILLUSTRATORE
5621;Rosen;Michael;AUTORE
5622;Draper;Sharon M.;AUTORE
5632;Prodon;Federico;AUTORE
5635;Cima;Lodovica;"AUTORE;CURATORE"
5692;Casolo ;Francesco ;AUTORE
5746;Vecchio;Concetto;AUTORE
5751;Prettyman;Steve;AUTORE
5812;Shimazaki;Aki;AUTORE
5828;Montgomery;Ross ;AUTORE
5844;Nieto Guridi;Raúl ;ILLUSTRATORE
5870;Rizzi ;Valentina;AUTORE
5871;Carabelli;Francesca;ILLUSTRATORE
5883;Marone;Lorenzo;AUTORE
5903;Duckett;Jon;AUTORE
5930;Cappellini;Elena;TRADUTTORE
5982;Saunders;George;AUTORE
5983;Mennella;Cristiana;TRADUTTORE
5984;d'Eramo;Marco;AUTORE
6085;Dolfi;Laura;CURATORE
6087;Postorino ;Rosella;AUTORE
6100;Herron;Mick;AUTORE
6101;Amatori;Franco;"CURATORE;PREFATORE"
6102;Mendini;Alessandro;"AUTORE;ILLUSTRATORE"
6134;Lee;Andy;AUTORE
6192;Lipovetsky;Gilles;AUTORE
6277;Magris;Claudio;"AUTORE;PREFATORE"
7100;Pavese;Cesare;AUTORE
7124;Blom;Philipp;AUTORE
7334;Mounk;Yascha;AUTORE
7339;Castaldi ;Paolo ;"AUTORE;ILLUSTRATORE"
7372;Eilenberger;Wolfram;AUTORE
7428;Merlin Defanti;Stella;AUTORE
7436;Cuniberto;Flavio;TRADUTTORE
7455;Manara ;Milo;AUTORE
7468; Tassinari;Simonetta;AUTORE
7469;Labadessa;Mattia;AUTORE
7500;Assirelli;Francesca;ILLUSTRATORE
7553;De Mauro;Andrea;AUTORE
7559;Bellotti;Elisa;ILLUSTRATORE
7583;Caluri;Daniele;AUTORE
7584;Pagani;Emiliano;AUTORE
7601;Orwell;George;AUTORE
7621;Ginzberg;Siegmund;AUTORE
7625;Bouvier;Nicolas;AUTORE
7626;Vernet;Thierry;ILLUSTRATORE
7632;Tonelli;Guido;AUTORE
7655;Battaglia;Boris;"PREFATORE;TRADUTTORE"
7657;Franco;Barbara;"AUTORE;CURATORE"
7707;Benjamin;Walter;AUTORE
7720;Baldi;Massimo;TRADUTTORE
7732;Ortolani;Leo;"AUTORE;ILLUSTRATORE"
7753;Riccini;Raimonda;"CURATORE;PREFATORE"
7761;Liberatore;Tanino;"AUTORE;ILLUSTRATORE"
7770;Sacchi;Michele;TRADUTTORE
7774;Sagramola;Giulia;ILLUSTRATORE
7784;Ferrari;Gian Arturo;AUTORE
7793;Nobile;Gabriella;AUTORE
7807;Torregrossa;Giuseppina;AUTORE
7826;Renner;Benjamin;ILLUSTRATORE
7907;Cerri;Claudio;"AUTORE;ILLUSTRATORE"
7911;Carofiglio;Gianrico;AUTORE
7914;Timm;Uwe;AUTORE
7915;Pira;Dottor;AUTORE
7920;Gnocchi;Laura;CURATORE
7964;Borini;Alessandro;TRADUTTORE
7965;Gorla;Valeria;TRADUTTORE
7966;Milton Knowles;Samanta K.;TRADUTTORE
7969;Mankell;Henning;AUTORE
7970;Puleo;Giorgio;TRADUTTORE
7971;Illies;Florian;AUTORE
7974;Morando;Enrico;AUTORE
7975;Tonini;Giorgio;AUTORE
7992;Righetto;Matteo;AUTORE
8291;Pavolini;Lorenzo;AUTORE
8312;De Toni;Alberto F.;"AUTORE;CURATORE;PREFATORE"
8323;Cremonesi;Fabio;TRADUTTORE
8338;De Michelis;Cesare;";AUTORE;CON_TESTI_DI;CURATORE;INTRODUZIONE;PREFATORE;PREFAZIONE"
8340;D'Avino;Maria Valeria;TRADUTTORE
