id;isbn13;titolo;sottotitolo;collana_id;collana;in_libreria;in_magazzino;tipo;redazione;marchio_editoriale;autori;curatori;prefatori;traduttori;illustratori;cedola;data_cedola;modifica
31534;9788850334513;Il mio primo libro di coding;Scopri il mondo della programmazione senza dover usare il computer;9;Fuori Collana;2018-09-27;2018-09-17;major;Apogeo;APOGEO;7405;;;;;Maggio-Giugno-Luglio 2021;2021-05-01;2022-03-15 14:27:32.434701+01
33075;9788807111587;Colazione a Pechino;Sogni e incubi di un impero senza tempo;82;Storie;;;major;GGF;FELTRINELLI;7621;;;;;Ottobre - Novembre 2021;2021-01-07;2022-03-15 17:53:16.95362+01
33674;9788850336203;Fotografia architettonica;La composizione, lo scatto, la postproduzione;1095;Fotografia;;;major;Apogeo;APOGEO;19516;;;;;set-22;2022-09-01;2022-03-14 10:21:20.094134+01
33820;9788807896521;Storia segreta del Costaguana;;97;Universale Economica;;;economica;GGF;FELTRINELLI;5134;;;;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 18:37:39.566851+01
33926;9788807091568;La terapia delle parole;Dentro e fuori dal Web, scrivere per stare bene;817;Urra Feltrinelli;2021-05-27;2021-05-17;major;GGF;FELTRINELLI;7808;;;;;Maggio-Giugno-Luglio 2021;2021-01-07;2022-03-14 10:29:18.924652+01
34450;9788807893780;La civetta cieca. Tre gocce di sangue;;97;Universale Economica;2022-05-26;2022-05-16;economica;GGF;FELTRINELLI;1000483;;1000312;"7931;7933;7932";;Maggio-Giugno-Luglio  2020;2020-05-01;2022-03-15 16:51:34.157123+01
34523;9788850335459;Nudo Fine Art;Tecniche di illuminazione e posa per fotografare il corpo umano;1095;Fotografia;;;major;Apogeo;APOGEO;7313;;;;;Ottobre-Novembre 2020;2020-10-01;2022-03-11 11:48:49.288364+01
46654;9788858029398;Quello che devi sapere sul denaro II (Nuova Edizione) ALLEGATI;;;;2021-09-30;2021-09-20;major;Gribaudo;GRIBAUDO;5426;;;;;;;2022-03-10 16:31:10.136449+01
46785;9788850336067;ASP.NET Core;Guida allo sviluppo con .NET e C#;16;Guida completa;2022-04-21;2022-04-08;major;Apogeo;APOGEO;19344;;;;;apr-22;2022-04-01;2022-03-15 17:54:08.21212+01
46801;9788807034923;Tutte le volte che mi sono innamorato;;68;I Narratori;2022-04-28;2022-04-14;major;GGF;FELTRINELLI;12502;;;;;apr-22;2022-01-01;2022-03-16 09:51:48.643369+01
46820;9788807493256;Un bagno nello stagno sotto la pioggia;In cui quattro scrittori russi tengono una master class sulla scrittura, la lettura e la vita;84;Varia;2022-05-26;2022-05-16;major;GGF;FELTRINELLI;5982;;;5983;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 17:18:49.566964+01
58461;9788807493003;Il cercatore di essenze;Viaggio alle origini del profumo;84;Varia;2021-11-04;2021-10-22;major;GGF;FELTRINELLI;14262;;;18940;;Maggio-Giugno-Luglio 2021;2021-01-07;2022-03-15 15:00:21.662275+01
105543;9788807493010;Le protagoniste;L'emancipazione femminile attraverso lo sport;84;Varia;2021-06-24;2021-06-14;major;GGF;FELTRINELLI;"168823;5581";;;;;Maggio-Giugno-Luglio 2021;2021-01-07;2022-03-15 14:58:29.330549+01
105599;9788807034954;Speculazioni;;68;I Narratori;;;major;GGF;FELTRINELLI;18918;;;8330;;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-14 17:17:08.749784+01
105980;9788807091711;Amici (im)perfetti;Contro-filosofia dell'amicizia;817;Urra Feltrinelli;;;major;GGF;FELTRINELLI;7468;;;;;set-22;2022-09-01;2022-03-09 18:09:55.996386+01
106130;9788807551031;Gabonzo, l'invincibile robot;;855;Feltrinelli Comics;2022-04-21;2022-04-08;major;GGF;FELTRINELLI;7915;;;;;apr-22;2022-01-01;2022-03-14 16:16:20.464227+01
106154;9788807904110;Tractatus logico-philosophicus;;109;Universale Economica I Classici;2022-04-07;2022-03-28;economica;GGF;FELTRINELLI;19041;"179255;19040";;"179255;19040";;Gennaio-febbraio-marzo  2022;2022-01-01;2022-03-15 12:29:50.651404+01
106173;9788807091667;Flip-thinking;Fare di un problema un'opportunità;817;Urra Feltrinelli;2022-04-21;2022-04-08;major;GGF;FELTRINELLI;19043;;;4863;;apr-22;2022-01-01;2022-03-16 10:26:51.196207+01
106185;9788807034664;Il sentiero del sale;;68;I Narratori;2022-04-07;2022-03-28;major;GGF;FELTRINELLI;19046;;;499937;;apr-22;2022-01-01;2022-03-14 16:16:20.544103+01
106196;9788807896736;L'arte della guerra;Edizione commentata per ragazzi;941;Universale Economica Ragazzi;;;economica;GGF;FELTRINELLI;10008513;4553;;10008514;4553;Maggio-Giugno-Luglio 2022;2022-05-01;2022-03-13 18:00:15.906643+01
106272;9788807550898;Maledetto poeta;;855;Feltrinelli Comics;;;major;GGF;FELTRINELLI;7469;;;;;Ottobre - Novembre 2021;2021-01-07;2022-03-14 16:16:20.493577+01
106320;9788807174063;Siamo qui per voi;Come ci governano le nuove corporation;74;Serie Bianca;2022-03-10;2022-02-28;major;GGF;FELTRINELLI;1000371;;;1000344;;Gennaio-febbraio-marzo  2022;2022-01-01;2022-03-10 16:03:36.079102+01
106692;9788850336265;La Cattedrale e il Bazaar;Riflessioni di un rivoluzionario per caso su Linux e l'open source;9;Fuori Collana;;;major;Apogeo;APOGEO;7693;;;;;set-22;2022-09-01;2022-03-16 10:29:47.237486+01
